Emp_ID,PWM_Value,Mean,Blur,Texture,Status,Max High Texture,Min High Texture,Max low Texture,Min low Texture,texture_framecount,texture_iriscount,average_textureff,max_texture_iris_count,max_high_meanvalue,min_high_meanvalue,max_low_meanvalue,min_low_meanvalue,average_high_mean,average_low_mean,iris_mean,pupil_mean,mean ratio,Laplcian count,max_lap,min_lap,magnitude,average_mag
MN00,11,199,4008,184.901913,Not Captured,216.924667,216.631134,185.976746,183.093246,317,101,417,262,232,232,202,199,232,199,122.000000,72.000000,1.694444,0.000000,0.000000,0.000000,23.000000,21
MN00,11,199,4031,184.339496,Not Captured,216.924667,216.631134,185.976746,183.093246,622,201,417,262,232,232,202,199,232,199,122.000000,72.000000,1.694444,0.000000,0.000000,0.000000,24.000000,21
MN00,11,199,4021,184.482372,Not Captured,216.924667,216.631134,185.976746,183.093246,778,262,417,262,232,232,202,199,232,199,122.000000,70.000000,1.742857,0.000000,0.000000,0.000000,25.000000,21

MN00,17,231,1647,213.936429,Not Captured,214.011780,213.936432,179.922821,178.927322,191,123,464,197,231,231,195,194,231,194,192.000000,116.000000,1.655172,0.000000,0.000000,0.000000,13.000000,22
MN00,17,231,1652,214.011775,Not Captured,214.011780,213.936432,179.922821,178.927322,224,136,464,197,231,231,195,194,231,194,191.000000,116.000000,1.646552,0.000000,0.000000,0.000000,14.000000,22
MN00,11,195,4100,179.678851,Not Captured,214.011780,213.936432,179.922821,178.927322,490,136,464,197,231,231,195,194,231,194,120.000000,68.000000,1.764706,0.000000,0.000000,0.000000,25.000000,22
MN00,11,195,4098,179.904185,Not Captured,214.011780,213.936432,179.922821,178.927322,649,197,464,197,231,231,195,194,231,194,120.000000,68.000000,1.764706,0.000000,0.000000,0.000000,25.000000,22
MN00,11,195,4103,179.922820,Not Captured,214.011780,213.936432,179.922821,178.927322,474,136,464,197,231,231,195,194,231,194,120.000000,68.000000,1.764706,0.000000,0.000000,0.000000,25.000000,22
MN00,11,195,4095,179.305603,Not Captured,214.011780,213.936432,179.922821,178.927322,535,155,464,197,231,231,195,194,231,194,121.000000,69.000000,1.753623,0.000000,0.000000,0.000000,25.000000,22
MN00,11,195,4084,179.361469,Not Captured,214.011780,213.936432,179.922821,178.927322,556,140,464,197,231,231,195,194,231,194,120.000000,68.000000,1.764706,0.000000,0.000000,0.000000,25.000000,22
MN00,11,195,4101,179.167092,Not Captured,214.011780,213.936432,179.922821,178.927322,440,139,464,197,231,231,195,194,231,194,120.000000,70.000000,1.714286,0.000000,0.000000,0.000000,25.000000,22
MN00,11,194,4106,178.927319,Not Captured,214.011780,213.936432,179.922821,178.927322,618,187,464,197,231,231,195,194,231,194,120.000000,70.000000,1.714286,0.000000,0.000000,0.000000,26.000000,22

MN00,17,236,1179,216.249380,Not Captured,216.249374,211.172546,179.482712,177.282043,168,89,687,425,236,231,200,198,232,199,199.000000,128.000000,1.554688,0.000000,0.000000,0.000000,11.000000,21
MN00,17,232,1531,213.005512,Not Captured,216.249374,211.172546,179.482712,177.282043,175,97,687,425,236,231,200,198,232,199,198.000000,119.000000,1.663866,0.000000,0.000000,0.000000,13.000000,21
